rank,candidate_id,name,segment,url,stage0_priority,coverage,technical_age,seo_material,asset_strength,contact_gap,feasibility,commercial_probability
1,CAND-ACCOUNT-REC-02,"NSC Soluções Empresariais",accounting_b2b,https://nscsolucoesempresariais.com.br/,83.1,100,31,20,19.8,6,8.8,
2,CAND-ACCOUNT-REC-13,"Sinergia Consultoria Empresarial",accounting_b2b,https://sinerggia.com.br/service/contabilidade/,76.2,100,23,19,18.6,12,9.2,
3,CAND-ACCOUNT-REC-05,"RS Consultoria Empresarial Contábil",accounting_b2b,https://rsconsultoria-pe.com.br/,75.1,100,34,15.5,11,7,9.2,
4,CAND-LEGAL-REC-02,"Rabelo & Amorim Advogados",legal_b2b,https://rabeloadvogados.adv.br/,72.8,100,23,20,18.3,6,8.4,
5,CAND-ACCOUNT-REC-04,"HMA Contabilidade",accounting_b2b,https://www.hmape.com.br/contato,69.7,100,23,19,14.7,7,8.8,
6,CAND-ACCOUNT-REC-25,"Sá Leitão Auditores e Consultores",accounting_b2b,https://saleitao.com.br/,65.8,100,19,17.5,20,5,8.4,
7,CAND-ACCOUNT-REC-01,"Conexão Contabilidade e Consultoria Empresarial",accounting_b2b,https://www.conexaocontabilidade.com/,65.6,100,23,16.5,11.9,8,9.6,
8,CAND-LEGAL-REC-10,"Martorelli Advogados",legal_b2b,https://martorelli.com.br/martorelli/,65.3,100,19,17.5,17,7,9.2,
9,CAND-LEGAL-REC-22,"EA Advocacia & Compliance",legal_b2b,https://eaadvogados.adv.br/,65,100,15,17.5,20,10,9.2,
10,CAND-ACCOUNT-REC-20,"Saires Contabilidade",accounting_b2b,https://sairescontabil.com.br/,64.9,100,17,17.5,20,7,8.4,
11,CAND-LEGAL-REC-20,"Queiroz Cavalcanti Advocacia (QCA)",legal_b2b,https://www.qca.adv.br/,64.6,100,15,15,18.9,15,9.6,
12,CAND-LEGAL-REC-12,"Magalhães Advogados",legal_b2b,https://magalhaesadvogados.adv.br/,64.1,100,19,15.5,11.4,15,9.6,
13,CAND-ACCOUNT-REC-14,"Marjuhh",accounting_b2b,https://marjuhh.com.br/,64,100,20,17.5,20,0,9.2,
14,CAND-LEGAL-REC-11,"Da Fonte Advogados",legal_b2b,https://www.dafonteadv.com.br/quem-somos/,63.7,100,23,13,9,15,9.6,
15,CAND-LEGAL-REC-13,"Antonio Faria Advogados",legal_b2b,https://antoniofaria.com.br/,63.5,100,15,17.5,17.1,11,9.2,
16,CAND-LEGAL-REC-17,"Serur Advogados",legal_b2b,https://serur.com.br/,63,100,16,15,20,10,9.2,
17,CAND-LEGAL-REC-21,"Leonardo Coêlho Advocacia",legal_b2b,https://www.leonardocoelho.adv.br/,61.2,100,14,15,15.9,15,9.6,
18,CAND-ACCOUNT-REC-15,"Coutinho Contabilidade",accounting_b2b,https://coutinho.com.br/,60.8,100,17,16.5,18.6,4,8.8,
19,CAND-ACCOUNT-REC-03,"Sistcon Contabilidade",accounting_b2b,https://www.sistconcontabilidade.com.br/,59.9,100,14,15,18.8,10,9.2,
