candidate_id,observed_name,segment,geography_layer,neighborhood_or_city,official_url,prospect_scope,home_observed,evidence_coverage_percent,evidence_priority_score,technical_gap,contact_gap,asset_strength,seo_material,pas_opportunity,feasibility,visual_gap,search_demand,next_gate,limitation,evidence_priority_rank
"CAND-ACCOUNT-INT-01","Pilot","accounting_b2b","international_reference","Estados Unidos","https://pilot.com/solutions/smb","false","true","85","40.5","0","7","11.2","7",,"9.2",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.",
"CAND-ACCOUNT-INT-02","Bench Accounting","accounting_b2b","international_reference","Canadá / Estados Unidos","https://www.bench.co/","false","true","85","45.4","4","12","9.9","3.5",,"9.2",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.",
"CAND-ACCOUNT-INT-03","Xendoo","accounting_b2b","international_reference","Estados Unidos","https://xendoo.com/","false","true","85","33.9","0","12","6.6","1",,"9.2",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.",
"CAND-ACCOUNT-NAT-01","Contabilizei","accounting_b2b","national_reference","sede a validar","https://www.contabilizei.com.br/","false","true","85","55.2","9","15","7.7","6",,"9.2",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.",
"CAND-ACCOUNT-NAT-02","Agilize","accounting_b2b","national_reference","Salvador / São Paulo","https://www.agilize.com.br/","false","true","85","64.9","4","7","20","15",,"9.2",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.",
"CAND-ACCOUNT-NAT-03","Conube","accounting_b2b","national_reference","São Paulo","https://www.conube.com.br/","false","true","85","47.2","7","15","2.9","6",,"9.2",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.",
"CAND-ACCOUNT-NAT-04","Razonet","accounting_b2b","national_reference","sede a validar","https://razonet.com.br/","false","true","85","69.2","0","15","20","15",,"8.8",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.",
"CAND-ACCOUNT-NAT-05","Bipo Contabilidade Digital","accounting_b2b","national_reference","sede a validar","https://bipocontabilidade.com.br/","false","true","85","40.8","0","11","7.9","7",,"8.8",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.",
"CAND-ACCOUNT-REC-01","Conexão Contabilidade e Consultoria Empresarial","accounting_b2b","recife","Boa Viagem","https://www.conexaocontabilidade.com/","true","true","100","60.4","10","8","11.9","16.5","4.4","9.6",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","21"
"CAND-ACCOUNT-REC-02","NSC Soluções Empresariais","accounting_b2b","recife","Boa Viagem","https://nscsolucoesempresariais.com.br/","true","true","85","76","10","6","19.8","20",,"8.8",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","5"
"CAND-ACCOUNT-REC-03","Sistcon Contabilidade","accounting_b2b","recife","Boa Viagem","https://www.sistconcontabilidade.com.br/","true","true","85","62.4","0","10","18.8","15",,"9.2",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","18"
"CAND-ACCOUNT-REC-04","HMA Contabilidade","accounting_b2b","recife","Boa Viagem","https://www.hmape.com.br/contato","true","true","100","69.3","14","7","14.7","19","5.8","8.8",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","11"
"CAND-ACCOUNT-REC-05","RS Consultoria Empresarial Contábil","accounting_b2b","recife","Boa Viagem","https://rsconsultoria-pe.com.br/","true","true","100","70","20","7","11","15.5","7.4","9.2",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","10"
"CAND-ACCOUNT-REC-06","RCA Contábil","accounting_b2b","recife","Boa Viagem","https://rcacontabil.rec.br/","true","false","50",,,,"0","0",,"3.2",,,"access_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.",
"CAND-ACCOUNT-REC-07","RHENTALL Contabilidade","accounting_b2b","recife","Casa Amarela","https://rhentall.com.br/","true","true","100","57.5","0","8","20","15","5.3","9.2",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","25"
"CAND-ACCOUNT-REC-08","ACENE Contabilidade","accounting_b2b","recife","Madalena","https://acene.recife.br/","true","true","85","48.6","14","7","5.9","6",,"8.4",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","37"
"CAND-ACCOUNT-REC-09","Calado Assessoria Contábil","accounting_b2b","recife","Iputinga","https://calado.cnt.br/","true","true","85","73.8","12","5","19","17.5",,"9.2",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","6"
"CAND-ACCOUNT-REC-10","Consult Contábil","accounting_b2b","recife","Cordeiro","https://www.linkedin.com/company/consultcontabil","true","true","85","38.4","0","10","7.3","7",,"8.4",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","42"
"CAND-ACCOUNT-REC-11","S.R. Contabilidade","accounting_b2b","recife","Arruda","https://sousrcontabilidade.com/solucoes-financeiras/bpo-financeiro.html","true","true","85","76.7","14","11","14.9","16.5",,"8.8",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","4"
"CAND-ACCOUNT-REC-12","CONASC Contadores Associados","accounting_b2b","recife","Ilha do Leite","https://www.conasc.com.br/","true","true","100","59","16","3","12.8","11.5","6.6","9.2",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","24"
"CAND-ACCOUNT-REC-13","Sinergia Consultoria Empresarial","accounting_b2b","recife","Ilha do Leite","https://sinerggia.com.br/service/contabilidade/","true","true","85","88","16","12","18.6","19",,"9.2",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","1"
"CAND-ACCOUNT-REC-14","Marjuhh","accounting_b2b","recife","Imbiribeira","https://marjuhh.com.br/","true","true","100","55.5","5","0","20","17.5","3.8","9.2",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","29"
